Porto,Mercadoria,Sentido,Volume Diário em Toneladas,Volume Diário em Movs
Paranaguá,OLEO DIESEL,Imp/Exp,"15.000,000",
Paranaguá,SODA CÁUSTICA,Imp,"12.100,000",
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Paranaguá,METANOL,Imp,"17.138,000",
Paranaguá,SULFATO DE AMONIO,Imp,"67.500,000",
Paranaguá,TRIGO (EXC.TRIGO DURO OU P/SEM,Exp,"28.500,000",
Paranaguá,UREIA,Imp,"31.250,000",
Paranaguá,UREIA,Imp,"21.598,000",
Paranaguá,MAP,Imp,"7.150,000",
Paranaguá,AÇÚCAR,Exp,"57.250,000",
Paranaguá,MALTE,Imp,"10.002,000",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"9.700,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"20.025,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"22.825,000",
Paranaguá,AÇÚCAR,Exp,"36.300,000",
Paranaguá,MILHO,Exp,"66.000,000",
Paranaguá,MILHO,Exp,"71.500,000",
Paranaguá,MILHO,Exp,"67.500,000",
Paranaguá,CONTÊINERES,Imp/Exp,,800
Paranaguá,CONTÊINERES,Imp/Exp,,800
Paranaguá,OLEO DE SOJA,Exp,"10.801,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"25.525,000",
Paranaguá,CONTÊINERES,Imp/Exp,,750
Paranaguá,AÇÚCAR,Exp,"30.000,000",
Paranaguá,SODA CÁUSTICA,Imp,"2.635,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"20.240,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"22.360,000",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"20.240,000",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"22.360,000",
Paranaguá,FARELO DE SOJA,Exp,"60.662,000",
Paranaguá,MAP,Imp,"15.000,000",
Paranaguá,SOJA,Exp,"72.450,000",
Paranaguá,SOJA,Exp,"64.570,000",
Paranaguá,FUEL-OIL (OLEO COMBUSTIVEL),Imp/Exp,"30.000,000",
Paranaguá,AÇÚCAR,Exp,"12.027,000",
Paranaguá,SOJA,Exp,"60.000,000",
Santos,OLEO DIESEL,"EMB,     ",30000,
Paranaguá,OUTS.MAQUINAS E APARS.P/FABR.P,Imp,"184,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,7796,
Paranaguá,AÇÚCAR,Exp,"55.250,000",
Santos,OLEO DIESEL,DESC   ,41289,
Paranaguá,AÇÚCAR,Exp,"40.000,000",
Santos,OLEO DIESEL,DESC   ,56262,
Paranaguá,METANOL,Imp,"9.532,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,35923,
Paranaguá,AÇÚCAR,Exp,"53.003,000",
Santos,OLEO COMBUSTIVEL,"EMB,     ",60000,
Paranaguá,CLORETO DE POTASSIO,Imp,"20.718,000",
Santos,ETHANOL,"EMB,     ",32743,
Paranaguá,AÇÚCAR,Exp,"51.850,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,"EMB,     ",3750,
Paranaguá,SULFATO DE AMONIO,Imp,"67.295,000",
Santos,OLEO DIESEL,DESC   ,36500,
Paranaguá,MALTE,Imp,"6.703,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,"EMB,     ",9000,
Paranaguá,SOJA,Exp,"67.500,000",
Santos,OLEO LUBRIFICANTE,DESC   ,3250,
Paranaguá,FARELO DE SOJA,Exp,"45.000,000",
Santos,OLEO DIESEL,DESC   ,35900,
Paranaguá,AÇÚCAR,Exp,"33.000,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,"EMB,     ",16110,
Paranaguá,AÇÚCAR,Exp,"65.000,000",
Santos,OLEO DIESEL,"EMB,     ",36000,
Paranaguá,AÇÚCAR,Exp,"51.125,000",
Santos,OLEO DIESEL,"EMB,     ",30000,
Paranaguá,OUTS.ADUBOS/FERTILIZ.MINER.QUI,Imp,"17.644,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,"EMB,     ",7600,
Paranaguá,CLORETO DE POTASSIO,Imp,"17.644,000",
Santos,OLEO COMBUSTIVEL,"EMB,     ",20000,
Paranaguá,METANOL,Imp,"18.177,000",
Santos,ETHANOL,"EMB,     ",16800,
Paranaguá,FARELO DE SOJA,Exp,"63.000,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,2548,
Paranaguá,AÇÚCAR,Exp,"50.288,000",
Santos,OLEO COMBUSTIVEL,"EMB,     ",27000,
Paranaguá,CLORETOS DE POTASSIO,Imp,"45.535,000",
Santos,OLEO COMBUSTIVEL,"EMB,     ",27000,
Paranaguá,NITRATO DE AMONIO,Imp,"7.000,000",
Santos,GASOLINA COMUM,"EMB,     ",19000,
Paranaguá,UREIA,Imp,"23.792,000",
Santos,OLEO DIESEL,"EMB,     ",34000,
Paranaguá,AÇÚCAR,Exp,"42.350,000",
Santos,GASOLINA COMUM,"EMB,     ",30000,
Paranaguá,FARELO DE SOJA,Exp,"69.458,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,10385,
Paranaguá,AÇÚCAR,Exp,"45.200,000",
Santos,SUCOS CITRICOS A GRANEL,"EMB,     ",17000,
Paranaguá,AÇÚCAR,Exp,"44.930,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,14000,
Paranaguá,FARELO DE SOJA,Exp,"63.099,000",
Santos,OLEO DIESEL,DESC   ,41419,
Paranaguá,MAP,Imp,"3.000,000",
Santos,"GRAN.LIQUIDO NAO ESPECIF, GRAN.LIQUIDO NAO ESPECIF","EMB, DESC","200, 3710",
Paranaguá,MAP,Imp,"10.500,000",
Santos,OLEO DIESEL,DESC   ,21530,
Paranaguá,FARELO DE SOJA,Exp,"65.000,000",
Santos,"GRAN.LIQUIDO NAO ESPECIF, GRAN.LIQUIDO NAO ESPECIF","EMB, DESC","2400, 22559",
Paranaguá,CLORETOS DE POTASSIO,Imp,"35.000,000",
Santos,OLEO LUBRIFICANTE,DESC   ,3000,
Paranaguá,CLORETOS DE POTASSIO,Imp,"9.964,000",
Santos,SUCOS CITRICOS A GRANEL,"EMB,     ",32040,
Paranaguá,CLORETO DE POTASSIO,Imp,"38.050,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,2400,
Paranaguá,CLORETO DE POTASSIO,Imp,"30.000,000",
Santos,OLEO DIESEL,DESC   ,51566,
Paranaguá,FARELO DE SOJA,Exp,"64.000,000",
Santos,OLEO DIESEL,DESC   ,29900,
Paranaguá,SOJA,Exp,"60.000,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,7000,
Paranaguá,SULFATO DE AMONIO,Imp,"13.300,000",
Santos,TRIGO A GRANEL,DESC   ,29000,
Paranaguá,SULFATO DE AMONIO,Imp,"48.100,000",
Santos,TRIGO A GRANEL,DESC   ,19000,
Paranaguá,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"23.700,000",
Santos,"PELLETS A GRANEL, PELLETS A GRANEL","EMB, DESC","45000, 1200",
Paranaguá,CLORETO DE POTASSIO,Imp,"5.000,000",
Santos,MILHO A GRANEL,"EMB,     ",68000,
Paranaguá,CLORETO DE POTASSIO,Imp,"23.700,000",
Santos,PELLETS A GRANEL,"EMB,     ",84000,
Paranaguá,MAP,Imp,"29.500,000",
Santos,PELLETS A GRANEL,"EMB,     ",60000,
Paranaguá,FARELO DE SOJA,Exp,"68.000,000",
Santos,PELLETS A GRANEL,"EMB,     ",28709,
Paranaguá,SULFATO DE AMONIO,Imp,"45.708,000",
Santos,MILHO A GRANEL,"EMB,     ",57100,
Paranaguá,SULFATO DE AMONIO,Imp,"10.750,000",
Santos,MILHO A GRANEL,"EMB,     ",66000,
Paranaguá,UREIA,Imp,"45.708,000",
Santos,MILHO A GRANEL,"EMB,     ",68000,
Paranaguá,UREIA,Imp,"10.750,000",
Santos,PELLETS A GRANEL,"EMB,     ",68000,
Paranaguá,SOJA,Exp,"55.000,000",
Santos,SOJA A GRANEL,"EMB,     ",55,
Paranaguá,UREIA,Imp,"37.100,000",
Santos,PELLETS A GRANEL,"EMB,     ",59500,
Paranaguá,SOJA,Exp,"65.000,000",
Santos,PELLETS A GRANEL,"EMB,     ",62000,
Paranaguá,UREIA,Imp,"20.500,000",
Santos,MILHO A GRANEL,"EMB,     ",73857,
Paranaguá,UREIA,Imp,"45.499,000",
Santos,MILHO A GRANEL,"EMB,     ",68000,
Paranaguá,SOJA,Exp,"65.800,000",
Santos,MILHO A GRANEL,"EMB,     ",68000,
Paranaguá,FARELO DE SOJA,Exp,"60.000,000",
Santos,MILHO A GRANEL,"EMB,     ",68250,
Paranaguá,SOJA,Exp,"68.000,000",
Santos,PELLETS A GRANEL,"EMB,     ",27000,
Paranaguá,SOJA,Exp,"66.000,000",
Santos,MILHO A GRANEL,"EMB,     ",59642,
Paranaguá,SOJA,Exp,"66.000,000",
Santos,MILHO A GRANEL,"EMB,     ",65000,
Paranaguá,AÇÚCAR,Exp,"33.000,000",
Santos,MILHO A GRANEL,"EMB,     ",68000,
Paranaguá,SOJA,Exp,"64.150,000",
Santos,SOJA A GRANEL,"EMB,     ",70000,
Paranaguá,SOJA,Exp,"68.250,000",
Santos,MILHO A GRANEL,"EMB,     ",73200,
Paranaguá,MILHO,Exp,"63.640,000",
Santos,MILHO A GRANEL,"EMB,     ",72600,
Paranaguá,SOJA,Exp,"68.340,000",
Santos,MILHO A GRANEL,"EMB,     ",70335,
Paranaguá,SOJA,Exp,"66.775,000",
Santos,SOJA A GRANEL,"EMB,     ",70000,
Paranaguá,SOJA,Exp,"67.266,000",
Santos,MILHO A GRANEL,"EMB,     ",60000,
Paranaguá,SOJA,Exp,"68.300,000",
Santos,MILHO A GRANEL,"EMB,     ",64300,
Paranaguá,MILHO,Exp,"64.000,000",
Santos,MILHO A GRANEL,"EMB,     ",65000,
Paranaguá,MILHO,Exp,"62.000,000",
Santos,MILHO A GRANEL,"EMB,     ",67943,
Paranaguá,SOJA,Exp,"69.250,000",
Santos,MILHO A GRANEL,"EMB,     ",73500,
Paranaguá,SOJA,Exp,"63.000,000",
Santos,MILHO A GRANEL,"EMB,     ",68000,
Paranaguá,SOJA,Exp,"60.000,000",
Santos,MILHO A GRANEL,"EMB,     ",61910,
Paranaguá,SOJA,Exp,"65.750,000",
Santos,MILHO A GRANEL,"EMB,     ",1,
Paranaguá,SOJA,Exp,"69.300,000",
Santos,MILHO A GRANEL,"EMB,     ",68000,
Paranaguá,SOJA,Exp,"69.000,000",
Santos,SOJA A GRANEL,"EMB,     ",64000,
Paranaguá,SOJA,Exp,"68.000,000",
Santos,MILHO A GRANEL,"EMB,     ",1,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,MILHO A GRANEL,"EMB,     ",68000,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,PELLETS A GRANEL,"EMB,     ",58130,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,SOJA A GRANEL,"EMB,     ",52350,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,SOJA A GRANEL,"EMB,     ",55000,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,SOJA A GRANEL,"EMB,     ",72450,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,MILHO A GRANEL,"EMB,     ",68250,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,MILHO A GRANEL,"EMB,     ",67000,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,PELLETS A GRANEL,"EMB,     ",30767,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,PELLETS A GRANEL,"EMB,     ",27000,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,PELLETS A GRANEL,"EMB,     ",64000,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,MILHO A GRANEL,"EMB,     ",71859,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,PELLETS A GRANEL,"EMB,     ",64000,
Paranaguá,VEICULOS,Imp/Exp,,1.300
Santos,FERTILIZANTES,DESC   ,75200,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,FERTILIZANTES,DESC   ,48800,
Paranaguá,OUTS.CARREGADORAS/PAS-CARREGAD,Imp/Exp,"20.000,000",
Santos,FERTILIZANTES,DESC   ,45128,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,FERTILIZANTES,DESC   ,31650,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,GRAN.SOLIDO NAO ESPECIF,DESC   ,50000,
Paranaguá,OUTS.CARREGADORAS/PAS-CARREGAD,Imp/Exp,"20.000,000",
Santos,FERTILIZANTES,DESC   ,49100,
Paranaguá,VEICULOS,Imp/Exp,,800
Santos,FERTILIZANTES,DESC   ,34983,
Paranaguá,CONTÊINERES,Imp/Exp,,700
Santos,FERTILIZANTES,DESC   ,36039,
Paranaguá,METANOL,Imp,"8,000",
Santos,FERTILIZANTES,DESC   ,45150,
Paranaguá,CONTÊINERES,Imp/Exp,,1.300
Santos,ENXOFRE A GRANEL,DESC   ,36252,
Paranaguá,SODA CÁUSTICA,Imp,"10.000,000",
Santos,FERTILIZANTES,DESC   ,31700,
Paranaguá,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"33.000,000",
Santos,SAL A GRANEL,DESC   ,50980,
Paranaguá,CONTÊINERES,Imp/Exp,,656
Santos,GRAN.SOLIDO NAO ESPECIF,DESC   ,17500,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,FERTILIZANTES,DESC   ,20646,
Paranaguá,METANOL,Imp,"18.506,000",
Santos,FERTILIZANTES,DESC   ,9000,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,FERTILIZANTES,DESC   ,11550,
Paranaguá,CONTÊINERES,Imp/Exp,,500
Santos,FERTILIZANTES,DESC   ,49499,
Paranaguá,CONTÊINERES,Imp/Exp,,500
Santos,ENXOFRE A GRANEL,DESC   ,36300,
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"42.250,000",
Santos,FERTILIZANTES,DESC   ,36300,
Paranaguá,UREIA,Imp,"67.830,000",
Santos,ACUCAR A GRANEL,"EMB,     ",55000,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,ACUCAR A GRANEL,"EMB,     ",77000,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,GRAN.SOLIDO NAO ESPECIF,"EMB,     ",70000,
Paranaguá,OLEO DIESEL,Imp,"12.408,000",
Santos,ACUCAR A GRANEL,"EMB,     ",80000,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,ACUCAR A GRANEL,"EMB,     ",60000,
Paranaguá,CONTÊINERES,Imp/Exp,,350
Santos,ACUCAR A GRANEL,"EMB,     ",76900,
Paranaguá,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"27.280,000",
Santos,ACUCAR A GRANEL,"EMB,     ",47500,
Paranaguá,VEICULOS,Imp/Exp,,650
Santos,ACUCAR A GRANEL,"EMB,     ",78750,
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,ACUCAR A GRANEL,"EMB,     ",80000,
Paranaguá,ETILENOGLICOL (ETANODIOL),Imp,"1.800,000",
Santos,ACUCAR A GRANEL,"EMB,     ",76909,
Paranaguá,"BIODIESEL E SUAS MISTURAS,C/ M",Imp/Exp,"4.040,000",
Santos,ACUCAR A GRANEL,"EMB,     ",32000,
Paranaguá,ALIMET,Imp/Exp,"3.013,000",
Santos,ACUCAR A GRANEL,"EMB,     ",29500,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,ACUCAR A GRANEL,"EMB,     ",72000,
Paranaguá,OLEO DE SOJA,Exp,"10.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",33000,
Paranaguá,METANOL,Imp,"17.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",47250,
Paranaguá,SULFATO DE AMONIO,Imp,"65.021,000",
Santos,ACUCAR A GRANEL,"EMB,     ",75000,
Paranaguá,UREIA,Imp,"26.900,000",
Santos,ACUCAR A GRANEL,"EMB,     ",59500,
Paranaguá,CONTÊINERES,Imp/Exp,,500
Santos,ACUCAR A GRANEL,"EMB,     ",73600,
Paranaguá,CONTÊINERES,Imp/Exp,,1.000
Santos,ACUCAR A GRANEL,"EMB,     ",78000,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,ACUCAR A GRANEL,"EMB,     ",75000,
Paranaguá,UREIA,Imp,"33.283,000",
Santos,ACUCAR A GRANEL,"EMB,     ",55000,
Paranaguá,CONTÊINERES,Imp/Exp,,350
Santos,ACUCAR A GRANEL,"EMB,     ",34000,
Paranaguá,AÇÚCAR,Exp,"10.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",48000,
Paranaguá,ALCOOL ETILICO,Exp,"8.200,000",
Santos,GRAN.SOLIDO NAO ESPECIF,"EMB,     ",88000,
Paranaguá,CONTÊINERES,Imp,,1.050
Santos,ACUCAR A GRANEL,"EMB,     ",53250,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,ACUCAR A GRANEL,"EMB,     ",52500,
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,ACUCAR A GRANEL,"EMB,     ",49500,
Paranaguá,OUTS.CARREGADORAS/PAS-CARREGAD,Imp/Exp,"36.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",74230,
Paranaguá,CONTÊINERES,Imp/Exp,,900
Santos,ACUCAR A GRANEL,"EMB,     ",30000,
Paranaguá,FARELO DE SOJA,Exp,"58.300,000",
Santos,ACUCAR A GRANEL,"EMB,     ",32000,
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,ACUCAR A GRANEL,"EMB,     ",73600,
Paranaguá,AÇÚCAR (BRUTO),Exp,"33.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",71000,
Paranaguá,AÇÚCAR (BRUTO),Exp,"33.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",60000,
Paranaguá,CONTÊINERES,Imp/Exp,,500
Santos,ACUCAR A GRANEL,"EMB,     ",69165,
Paranaguá,OUTS.CARREGADORAS/PAS-CARREGAD,Imp/Exp,"36.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",80000,
Paranaguá,FOSFATO MONO OU DISSODICO,Imp,"43.975,000",
Santos,ACUCAR A GRANEL,"EMB,     ",31000,
Paranaguá,CONTÊINERES,Imp/Exp,,700
Santos,ACUCAR A GRANEL,"EMB,     ",25000,
Paranaguá,CONTÊINERES,Imp/Exp,,350
Santos,ACUCAR A GRANEL,"EMB,     ",25000,
Paranaguá,MAP,Imp,"25.150,000",
Santos,"VEICULOS/VRS/CCS.RO-RO, VEICULOS/VRS/CCS.RO-RO","EMB, DESC","1772, 13",
Paranaguá,CLORETO DE POTASSIO,Imp,"22.500,000",
Santos,"VEICULOS/VRS/CCS.RO-RO, VEICULOS/VRS/CCS.RO-RO","EMB, DESC","214, 44",
